site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_probs_time,red_tactics_probs_tactic_1,red_tactics_probs_tactic_2,red_tactics_batch_plot_trials_reviewed,red_tactics_batch_plot_trials_total,red_tactics_actual_red_tactic,bluebook_P-Sensitive_prob_1,bluebook_U-Sensitive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_normative_1,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,022,Human_Single,Sample-Exam-2,5,21,10405.0,1,0.4,0.4187358626187436,4,1,546.0,60.0,40.0,0,20,U-Sensitive,0.4,0.8,6692.0,0.4,0.5616701509435701,2153.0,Divert,-0.6,Do_Not_Divert,-0.2600452396200204,Do_Not_Divert,-0.3651491224738343
PSU,022,Human_Single,Sample-Exam-2,5,22,10499.0,1,0.4,0.024153519977379245,2,1,562.0,60.0,40.0,0,21,U-Sensitive,0.6,0.2,4492.0,0.6,0.44701190899741206,4524.0,Divert,-0.4,Divert,-0.4,Divert,-0.552988091002588
PSU,022,Human_Single,Sample-Exam-2,5,23,12246.0,1,0.7,0.4565132762271018,4,0,1404.0,60.0,40.0,0,22,U-Sensitive,0.4,0.8,3962.0,0.4,0.5654696796587653,6037.0,Divert,-0.6,Do_Not_Divert,-0.13915751607327423,Do_Not_Divert,-0.19672339009015963
PSU,022,Human_Single,Sample-Exam-2,5,24,12776.0,1,0.4,0.1338524466475317,2,0,546.0,60.0,40.0,0,23,U-Sensitive,0.6,0.2,8471.0,0.6,0.4427843610317199,2511.0,Divert,-0.4,Divert,-0.4,Divert,-0.5572156389682801
PSU,022,Human_Single,Sample-Exam-2,5,25,10452.0,1,0.7,0.2838746088141805,5,0,733.0,60.0,40.0,0,24,U-Sensitive,0.4,0.8,3854.0,0.4,0.5685640604325018,5038.0,Divert,-0.6,Divert,-0.6,Divert,-0.43143593956749815
PSU,022,Human_Single,Sample-Exam-2,5,26,9922.0,1,0.4,0.03420144334578612,2,0,609.0,60.0,40.0,0,25,U-Sensitive,0.6,0.2,5382.0,0.6,0.4392628440379779,3151.0,Divert,-0.4,Divert,-0.4,Divert,-0.5607371559620221
PSU,022,Human_Single,Sample-Exam-2,5,27,9687.0,1,0.7,0.16372686269985226,3,1,468.0,60.0,40.0,0,26,U-Sensitive,0.6,0.2,4602.0,0.6,0.42886351618796825,3884.0,Divert,-0.4,Divert,-0.4,Divert,-0.5711364838120317
PSU,022,Human_Single,Sample-Exam-2,5,28,21372.0,1,0.4,0.17171667236987354,2,0,500.0,60.0,40.0,0,27,U-Sensitive,0.6,0.2,8611.0,0.6,0.45806426895304425,10748.0,Do_Not_Divert,-0.7878799863123035,Divert,-0.4,Divert,-0.5419357310469557
PSU,022,Human_Single,Sample-Exam-2,5,29,8814.0,1,0.4,0.22717295455317754,2,0,2200.0,60.0,40.0,0,28,U-Sensitive,0.6,0.2,3370.0,0.6,0.48883836117965374,2246.0,Divert,-0.4,Divert,-0.4,Divert,-0.5111616388203463
PSU,022,Human_Single,Sample-Exam-2,5,30,9719.0,1,0.7,0.08962620493144347,2,1,796.0,60.0,40.0,0,29,U-Sensitive,0.6,0.2,5133.0,0.6,0.47763524783857764,3057.0,Divert,-0.4,Divert,-0.4,Divert,-0.5223647521614223
PSU,022,Human_Single,Sample-Exam-2,5,31,9938.0,1,0.9,0.4106588140702512,2,0,578.0,60.0,40.0,0,30,U-Sensitive,0.4,0.2,5756.0,0.4,0.33137034612732713,2917.0,Divert,-0.6,Do_Not_Divert,-0.14294589748759812,Do_Not_Divert,-0.11842007881986702
PSU,022,Human_Single,Sample-Exam-2,5,32,9656.0,1,1.0,0.3664713149641192,2,0,1341.0,60.0,40.0,0,31,U-Sensitive,0.4,0.2,4930.0,0.4,0.3238689617945177,2433.0,Do_Not_Divert,-0.21364589605740925,Do_Not_Divert,-0.21364589605740925,Do_Not_Divert,-0.17298318636943144
